,ingredients,type,portion,calories,fats,carbs,sugars,proteins,vegan,vegetarian,keto,pescatarian 
32,green olives,Vegetable,,,,,,,1,1,1,1
33,sweet onion,Vegetable,,,,,,,1,1,1,1
34,beetroot,Vegetable,,,,,,,1,1,1,1
35,romaine,Vegetable,,,,,,,1,1,1,1
36,black olives,Vegetable,,,,,,,1,1,1,1
37,artichoke,Vegetable,,,,,,,1,1,1,1
38,brussels sprout,Vegetable,,,,,,,1,1,1,1
39,fennel,Vegetable,,,,,,,1,1,1,1
40,radish,Vegetable,,,,,,,1,1,1,1
41,canned pumpkin,Vegetable,,,,,,,1,1,1,1
42,kalamata olives,Vegetable,,,,,,,1,1,1,1
43,summer squash,Vegetable,,,,,,,1,1,1,1
44,red cabbage,Vegetable,,,,,,,1,1,1,1
45,mixed greens,Vegetable,,,,,,,1,1,1,1
46,horseradish,Vegetable,,,,,,,1,1,1,1
47,parsnip,Vegetable,,,,,,,1,1,1,1
48,mixed vegetable,Vegetable,,,,,,,1,1,1,1
49,poblano pepper,Vegetable,,,,,,,1,1,1,1
50,bean sprouts,Vegetable,,,,,,,1,1,1,1
51,serrano pepper,Vegetable,,,,,,,1,1,1,1
52,sweet pepper,Vegetable,,,,,,,1,1,1,1
53,watercress,Vegetable,,,,,,,1,1,1,1
54,bok choy,Vegetable,,,,,,,1,1,1,1
55,iceberg,Vegetable,,,,,,,1,1,1,1
56,chard,Vegetable,,,,,,,1,1,1,1
57,green tomato,Vegetable,,,,,,,1,1,1,1
58,pimiento,Vegetable,,,,,,,1,1,1,1
59,butter lettuce,Vegetable,,,,,,,1,1,1,1
60,spaghetti squash,Vegetable,,,,,,,1,1,1,1
61,sauerkraut,Vegetable,,,,,,,1,1,1,1
62,celeriac,Vegetable,,,,,,,1,1,1,1
63,napa cabbage,Vegetable,,,,,,,1,1,1,1
64,water chestnut,Vegetable,,,,,,,1,1,1,1
65,turnip,Vegetable,,,,,,,1,1,1,1
66,okra,Vegetable,,,,,,,1,1,1,1
67,acorn squash,Vegetable,,,,,,,1,1,1,1
68,radicchio,Vegetable,,,,,,,1,1,1,1
69,corn cob,Vegetable,,,,,,,1,1,1,1
70,pearl onion,Vegetable,,,,,,,1,1,1,1
71,thai chili,Vegetable,,,,,,,1,1,1,1
72,plantain,Vegetable,,,,,,,1,1,1,1
73,tenderstem broccoli,Vegetable,,,,,,,1,1,1,1
74,leaf lettuce,Vegetable,,,,,,,1,1,1,1
75,endive,Vegetable,,,,,,,1,1,1,1
76,jicama,Vegetable,,,,,,,1,1,1,1
77,corn husk,Vegetable,,,,,,,1,1,1,1
78,habanero pepper,Vegetable,,,,,,,1,1,1,1
79,canned whole tomato,Vegetable,,,,,,,1,1,1,1
80,collard greens,Vegetable,,,,,,,1,1,1,1
81,baby corn,Vegetable,,,,,,,1,1,1,1
82,daikon,Vegetable,,,,,,,1,1,1,1
83,belgian endive,Vegetable,,,,,,,1,1,1,1
84,broccoli rabe,Vegetable,,,,,,,1,1,1,1
85,rutabaga,Vegetable,,,,,,,1,1,1,1
86,ancho chili pepper,Vegetable,,,,,,,1,1,1,1
87,bamboo shoot,Vegetable,,,,,,,1,1,1,1
88,boston lettuce,Vegetable,,,,,,,1,1,1,1
89,yam,Vegetable,,,,,,,1,1,1,1
90,kohlrabi,Vegetable,,,,,,,1,1,1,1
91,microgreens,Vegetable,,,,,,,1,1,1,1
92,guajillo pepper,Vegetable,,,,,,,1,1,1,1
93,frisee,Vegetable,,,,,,,1,1,1,1
94,delicata squash,Vegetable,,,,,,,1,1,1,1
95,anaheim pepper,Vegetable,,,,,,,1,1,1,1
96,cress,Vegetable,,,,,,,1,1,1,1
97,golden beet,Vegetable,,,,,,,1,1,1,1
98,gem lettuce,Vegetable,,,,,,,1,1,1,1
99,alfalfa,Vegetable,,,,,,,1,1,1,1
