,TITLE,DESCRIPTION,LINK,INGREDIENTS,DIRECTIONS,MACROS
65,Roasted Broccoli With Parmesan,"Everyone loves this roasted broccoli recipe with florets tossed in olive oil, lemon juice and salt, roasted and served with parmesan cheese and lots of black pepper.",https://www.simplyrecipes.com/recipes/roasted_broccoli/,"1 1/2 pounds (680g) broccoli, cut into florets of even size,3 to 4 tablespoons extra virgin olive oil,1 tablespoon lemon juice (about 1/2 lemon),Kosher salt,2 to 3 cloves garlic, minced,Freshly ground black pepper,1/4 cup grated Parmesan cheese, or to taste,","Preheat the oven:
Preheat the oven to 425°F (220°C).
Toss the broccoli and garlic with olive oil, lemon juice, and salt:
In a large bowl, toss the broccoli florets and minced garlic with olive oil and lemon juice until lightly coated. Sprinkle salt over the broccoli and toss to coat.
Simply Recipes / Mihaela Kozaric Sebrek
Arrange the florets in a single layer on a baking sheet:
Arrange the broccoli florets in a single layer on a baking sheet that has been rubbed with some olive oil or lined with parchment paper or aluminum foil.
Simply Recipes / Mihaela Kozaric Sebrek
Roast:
Roast at 425°F (220°C) for 16-20 minutes until cooked through (check by poking with a fork, should be fork tender) and lightly browned. The browned bits are the best! So don't worry if you see some charring.
Simply Recipes / Mihaela Kozaric Sebrek
Toss with Parmesan and black pepper, then serve:
Put the roasted broccoli back in the bowl and toss with lots of freshly ground black pepper and the grated parmesan cheese. Be generous with the black pepper, broccoli loves it!
Serve immediately.
Simply Recipes / Mihaela Kozaric Sebrek;","210
Calories,16g
Fat,14g
Carbs,6g
Protein,"
66,Cheesy Polenta with Grilled Sausages and Summer Vegetables,Cheesy Polenta with Grilled Sausages and Veggies! The oven makes polenta EASY. Great for a weeknight summer meal.,https://www.simplyrecipes.com/recipes/cheesy_polenta_with_grilled_sausages_and_summer_vegetables/,"Butter, for the baking dish,5 cups water,1 1/4 cups polenta,3 tablespoons butter, cut into little cubes,1 teaspoon salt,2/3 cup 3-cheese Italian blend,Oil, for the grill,8 Italian sausages,3 medium (about 1 pound) zucchini, cut on the diagonal into 1/4-inch-thick slices,3 medium (about 1 pound) summer squash, cut on the diagonal into 1/4-inch-thick slices,4 small tomatoes, halved,Olive oil, for brushing the vegetables,Salt and pepper,","Preheat the oven to 350ºF:
Butter a shallow 3-quart baking dish.
Bake the polenta:
In the baking dish, stir the water, polenta, cubed butter, and salt together. Bake, uncovered, for 30 minutes.
Remove from the oven and stir in the half of the cheese. Sprinkle the remaining cheese on top. Bake for 10 to 12 minutes longer, or until the polenta is thick and porridge-like.
Turn on the broiler and broil for 1 to 3 minutes, or just until the cheese bubbles and browns.
While the polenta is cooking, heat the grill:
For charcoal grills, fill a grill chimney with charcoal and light it. When the coals are hot (they should be covered with a layer of fine gray ash) empty the coals into the grill and push them to one side of the grill to make higher heat and lower heat cooking zones. Set the grate in place and cover the grill. Preheat the grate for 5 minutes.
For gas grills, heat one burner to high and one to low (225F).
Fold a small piece of paper towel to make a 2-inch square, and pour a few tablespoons of oil into a shallow bowl. With tongs, dip the square into the oil, and brush the grates.
When the grill is ready, cook the vegetables:
Place the sausages on the grill and cook, turning often, for 8 to 10 minutes, or until they are browned and cooked through (150F is the ideal internal temperature.) Move them on the cooler side of the grill if they brown too quickly but are still raw inside. As soon as they reach the desired temperature, transfer them to a plate and cover loosely with foil to keep them warm.
Brush the zucchini slices, summer squash slices, and tomato halves with olive oil and sprinkle with salt and pepper. Grill the zucchini and summer squash on each side until the slices are tender and there are grill marks on the sides. Grill the tomatoes, with the cut sides down, until they how grill marks and are warm but not falling apart. Use the cool side of the grill to moderate the heat if necessary.
To serve:
Place a spoonful of polenta on each plate. Top with a sausage, a tomato half, and a few slices of zucchini and summer squash.;","416
Calories,33g
Fat,12g
Carbs,19g
Protein,"
67,Spinach Artichoke Dip with Bacon,"This Spinach Artichoke Dip with crunchy smoky bacon will disappear in a flash at your next party! Make this for football parties, game nights with friends, or any gathering that needs a dip on the table.",https://www.simplyrecipes.com/recipes/spinach_artichoke_dip_with_bacon/,,"Preheat the oven to 400˚F
Cook the bacon:
Place the chopped bacon in a skillet and cook over medium heat until crispy, 7 to 10 minutes. Transfer the bacon to a plate lined with paper towels to drain, leaving the rendered bacon fat in the skillet. Set some of the bacon aside for sprinkling over top the dip.
Aaron Hutcherson
Cook the vegetables:
Add the garlic to the pan and cook until fragrant, about 30 seconds. Add the artichoke hearts, spinach, red pepper flakes, and salt. Cook, stirring occasionally, until artichokes are warmed through and the spinach has wilted, about 5 minutes.
Aaron Hutcherson
Combine with the cheeses:
In a medium bowl, mix the cream cheese, shredded Italian cheese blend, sour cream, reserved bacon, and spinach-artichoke mixture until thoroughly combined.
Bake and serve:
Transfer the mixture to a 1- to 2-quart baking dish and bake until bubbling around the edges, about 20 minutes. Let cool slightly, then sprinkle with reserved bacon and serve with pita chips.
This dip is best eaten right away while hot. If it cools a bit and starts to firm up, microwave it for a minute or two to melt the cheese again.
Aaron Hutcherson
Aaron Hutcherson;",
68,Italian Sausage and Mushroom Risotto,"Mushroom risotto with Parmesan cheese, mushrooms, and sweet Italian sausage.",https://www.simplyrecipes.com/recipes/italian_sausage_and_mushroom_risotto/,,"Cook the sausage and mushrooms
Heat olive oil in large skillet over medium heat. Crumble the sausage into the pan, spreading it out in an even layer. Cook for a couple of minutes.
Add the mushrooms, thyme, and oregano. Increase the heat to medium high and cook until the mushrooms are tender, about 10 minutes. Add 1/2 cup of the Madeira and scrape to deglaze the pan, about 1 minute. Set aside.
Heat chicken stock until it is steamy or simmering in a large saucepan and keep warm over low heat.
Cook onions and garlic in butter
Melt butter in a large saucepan over medium-high heat. Add onion and garlic and cook until onion is translucent, about 5 minutes.
Add the rice
Add the rice to the onions and cook for a couple of minutes, until the rice starts to brown.
Add remaining 1 cup Madeira.
Cook, stirring constantly until Madeira has been absorbed, about 2 minutes.
Add the hot stock, one ladleful at a time
and simmer until it is almost all absorbed by the rice, after each addition. Slowly stir the rice while it is cooking in the stock.
Continue to cook until rice is just tender and mixture is creamy, adding more stock by ladlefuls, stirring often and allowing most stock to be absorbed before adding more, until rice is tender, but still firm to the bite, about 20-25 minutes.
Stir in the sausage and mushrooms.
Season to taste with salt and pepper. Sprinkle with cheese to serve.
Adapted from Bon Appétit magazine.;",
69,Slow Cooker Meatballs in Tomato Sauce,"This easy slow cooker meatball recipe uses a blend of beef and Italian turkey sausage for a lightened-up version that still makes a flavorful, juicy meatball. Perfect for a weeknight dinner served over pasta or with toothpicks at tailgating party!",https://www.simplyrecipes.com/recipes/slow_cooker_meatballs_in_tomato_sauce/,,"Make the sauce:
Set your slow cooker to low, then add the crushed tomatoes, onion, bay leaf, sugar, red pepper flakes, salt, and pepper. Give it a quick stir to combine everything.
Alison Bickel
Alison Bickel
Soak the breadcrumbs:
In a medium-sized bowl, combine the breadcrumbs and milk.
Alison Bickel
Alison Bickel
Add the other meatball ingredients:
In the same bowl with the breadcrumbs, add the garlic, onion, parsley leaves, pepper, salt, oregano, cheese, and egg. Mix it all together with a fork. Add the beef and turkey. Use your hands to mix everything together just enough to be combined.
Alison Bickel
Alison Bickel
Alison Bickel
Shape the meatballs:
These can be quite sticky. If you keep your hands wet with water, it is much easier to roll the meat into balls. Alternatively, you can use a small #40 cookie scoop. I like to make meatballs that are smaller than a golf ball.
Pinch off about a tablespoon of meat, roll it in your hands and place it directly into the sauce. Repeat until all the meatballs are made. Some of the meatballs will not be submerged in the sauce. That’s ok. They will fall into the sauce as they cook. Do not worry.
Alison Bickel
Alison Bickel
Alison Bickel
Cover and cook:
Secure the lid to your slow cooker and let it cook for as little as 5 hours on high or as many as 8 to 10 hours on low.
Serve:
Serve these over spaghetti, on a hoagie bun for a meatball sandwich, or as a party appetizer on their own.
If you want to thicken the sauce, you can transfer it to a skillet set over medium-high heat and reduce it until it reaches your desired consistency. If the sauce has some fat floating on the top, just stir it in.;",
70,Sun-Dried Tomato Pesto,"When basil isn't in season, try Sun-Dried Tomato Pesto! Made with walnuts, it's punchy and sweet. Try it with pasta (of course), but also as a spread on sandwiches, as a dip with veggies, or stirred into soup!",https://www.simplyrecipes.com/recipes/sun_dried_tomato_pesto/,"1/2 cup walnuts (or other nut),1 cup (8 ounces) sun-dried tomatoes packed in oil,3 cloves garlic, sliced,3/4 cup grated Parmesan cheese,1/2 teaspoon kosher salt,1/4 teaspoon pepper,1/4 teaspoon chili flakes (optional),1 to 2 roasted red pepper quarters, from a jar (about 1/4 cup, optional),1/2 cup extra virgin olive oil,","Toast the walnuts:
Preheat the oven to 350°F. Place the nuts on a sheet pan in a single layer. Toast for 6 to 8 minutes or until fragrant and lightly colored. Remove from the oven and allow to cool.
Alison Conklin
Start processing the ingredients:
Place the half of the sun-dried tomatoes along with all the walnuts, cheeses, garlic, salt, pepper, chili flakes and preserved roasted red pepper (if using) into a food processor or blender. Pulse a few times until chopped well.
Alison Conklin
Add the rest of the tomatoes and the oil:
Next, add the rest of the sun-dried tomatoes and the oil they’re packed in. (Splitting up the tomatoes will add some variance in texture.)
With the motor running, steam in the olive oil, pausing to scrape down the sides once or twice, until the pesto has a uniform, but not-quite-pureed, consistency. (You want to ensure there’s still a bit of chunkiness to get a nice, toothsome texture.)
Use right away or store in an airtight container in the fridge for up to 1 week or in the freezer for up to 3 months for when needed.
Alison Conklin
Alison Conklin
Alison Conklin;","135
Calories,13g
Fat,5g
Carbs,3g
Protein,"
71,Chicken Piccata,"This easy chicken piccata recipe is ready in under 30 minutes! Chicken breast cutlets are dredged in flour, browned, and served with a sauce of butter, lemon juice, capers, and stock or wine.",https://www.simplyrecipes.com/recipes/chicken_piccata/,"1 1/2 pounds, skinless chicken breast halves, or 4 to 8 chicken cutlets,1/2 cup all-purpose flour,1/4 teaspoon kosher salt,1 pinch ground black pepper,3 tablespoons finely grated Parmesan cheese,1/4 cup extra virgin olive oil,4 tablespoons butter, divided,1/2 cup low-sodium chicken stock, or dry white wine (such as a Sauvignon Blanc),2 tablespoons fresh lemon juice,1/4 cup capers, drained,2 tablespoons chopped parsley,","Prepare the chicken cutlets:
To make chicken cutlets, slice the chicken breast halves horizontally, butterflying them open. If the breast pieces you are working with are large, you may want to cut them each into two pieces.
Simply Recipes / Michelle Becker
If the pieces are still thick after butterflying, put them between two pieces of plastic wrap and pound them with a meat hammer to 1/4-inch thickness.
Dredge the cutlets:
Mix together the flour, salt, pepper, and grated Parmesan. Rinse the chicken pieces in water. Dredge them thoroughly in the flour mixture until well coated.
Simply Recipes / Michelle Becker
Brown the cutlets:
Heat olive oil and 2 tablespoons of the butter in a large skillet on medium high heat. Add half of the chicken pieces, do not crowd the pan. Brown well on each side, about 3 minutes per side. Remove the chicken from the pan and reserve to a plate.
Cook the other breasts in the same manner, remove from pan. Place the breasts on a rack over a roasting pan and keep warm in a 225°F oven while you prepare the sauce.
Simply Recipes / Michelle Becker
Simply Recipes / Michelle Becker
Add the stock (or wine), lemon juice, and capers:
Add the chicken stock (or white wine), lemon juice, and capers to the pan. Use a spatula to scrape up the browned bits. Reduce the sauce by half.
Simply Recipes / Michelle Becker
Simply Recipes / Michelle Becker
Whisk in the remaining butter:
Whisk in the remaining 2 tablespoons of butter.
Simply Recipes / Michelle Becker
Serve immediately:
Plate the chicken and serve with the sauce poured over the chicken. Sprinkle with parsley.

Did you love the recipe? Leave us stars below!
Simply Recipes / Michelle Becker;","583
Calories,33g
Fat,14g
Carbs,56g
Protein,"
72,Hot Asiago and Spinach Dip,"This cheesy and creamy hot dip is perfect for entertaining and can also be served as an appetizer. Serve with pita bread, baguette, tortilla chips, or veggies.",https://www.allrecipes.com/recipe/160422/hot-asiago-and-spinach-dip/,"1 (8 ounce) package cream cheese, softened,½ cup mayonnaise,½ cup sour cream,2 teaspoons minced garlic,2 cups grated Asiago cheese,½ cup minced fresh parsley,1 ½ cups frozen chopped spinach, thawed and drained,","Directions
Preheat oven to 350 degrees F (175 degrees C).
Combine the cream cheese, mayonnaise, sour cream, and garlic in a mixing bowl. Add the Asiago cheese and parsley; mix well. Press as much moisture out of the spinach as you can; stir into the mixture. Spread into the bottom of an 8 1/2 x 10 baking dish.
Bake in the preheated oven until the middle is bubbling and the edges are golden brown, 20 to 25 minutes.","112
Calories,11g
Fat,1g
Carbs,4g
Protein,"
73,Scalloped Sweet Potatoes and Butternut Squash,"I made up this sweet potato and butternut squash recipe to go with some grilled salmon and boy, it sure turned out a lot better than I expected! A nice twist on the old scalloped potatoes.",https://www.allrecipes.com/recipe/228878/scalloped-sweet-potatoes-and-butternut-squash/,"2 sweet potatoes, quartered lengthwise,1 butternut squash, quartered and seeded,2 tablespoons olive oil, or as needed,3 tablespoons butter,½ yellow onion, chopped,2 cups milk,2 tablespoons all-purpose flour,1 ½ teaspoons minced fresh sage, or more to taste,1 pinch garlic salt, or to taste,ground black pepper to taste,¼ cup grated Asiago cheese,","Directions
Preheat the oven to 350 degrees F (175 degrees C). Grease an 8x8-inch baking dish.
Brush sweet potatoes and squash with olive oil. Arrange sweet potatoes on a baking sheet; set squash aside.
Bake sweet potatoes in the preheated oven for 5 minutes. Add squash to sweet potatoes; cook until almost tender, 10 to 15 minutes. Remove and cool.
Heat butter in a saucepan over medium heat; cook and stir onion in butter until tender, about 10 minutes. Add milk, flour, and sage; season with garlic salt and black pepper. Cook and stir until flour is dissolved and sauce is thickened, 5 to 10 minutes.
Remove and discard skins from sweet potatoes and squash. Thinly slice sweet potatoes and squash. Arrange sweet potato slices in the bottom of the prepared baking dish. Layer 1/2 of the squash atop sweet potatoes. Pour a little less than 1/2 of the cream sauce over squash. Sprinkle with 1/2 of the Asiago cheese. Repeat layering with remaining squash, cream sauce, and Asiago cheese, respectively. Cover the dish with aluminum foil.
Bake in the preheated oven for 25 minutes. Remove foil and bake until cheese is melted and bubbling, about 10 more minutes.
Tips
If it seems like there is not enough sauce after preparing the second layer, you can pour 1/2 cup milk over the top to add a little more liquid.","275
Calories,13g
Fat,35g
Carbs,7g
Protein,"
74,Delicious Creamed Kale With Mushrooms,Goes great as a side dish to any protein-based entree.,https://www.allrecipes.com/recipe/231560/delicious-creamed-kale-with-mushrooms/,"3 tablespoons butter,1 bunch kale, stems removed and leaves chopped,1 large shallot, thinly sliced,5 crimini mushrooms, sliced,¾ cup heavy whipping cream,¼ cup shredded Asiago cheese,4 cloves garlic, crushed to a paste,1 pinch salt and ground black pepper to taste,","Directions
Heat butter in a large skillet over medium heat; cook and stir kale and shallot until kale is tender, about 5 minutes. Stir mushrooms, cream, Asiago cheese, garlic, salt, and black pepper into kale mixture. Reduce heat to low and simmer until cream has thickened and mushrooms are tender, about 10 minutes.
Cook's Note:
Salt level is critical, be sure to taste as you go.","333
Calories,28g
Fat,17g
Carbs,8g
Protein,"
75,Creamy Cauliflower and Asiago Soup,"Warm, hearty, and creamy, this recipe is a great way to get kids to eat cauliflower, but can also be used to impress guests.",https://www.allrecipes.com/recipe/221176/creamy-cauliflower-and-asiago-soup/,"3 (14 ounce) cans low-sodium chicken broth,1 head cauliflower, cut into 1-inch pieces,¼ cup dry white wine,2 bay leaves,1 clove garlic, diced,1 (8 ounce) package cream cheese, softened,4 ounces diced Asiago cheese, or more to taste,salt and ground black pepper to taste,1 tablespoon chopped fresh rosemary,2 teaspoons fresh thyme leaves,","Directions
Bring chicken broth to a boil in a large pot. Cook cauliflower, white wine, and bay leaves in the boiling broth over medium-high heat until cauliflower is tender, 10 to 15 minutes.
Mix garlic, cream cheese, and Asiago cheese together in a bowl.
Strain cauliflower from broth with a slotted spoon and add to the cheese mixture. Remove bay leaves from stock and discard.
Mash cauliflower and cream cheese mixture with a potato masher until well mixed; season with salt and black pepper.
Stir cauliflower mixture into the broth until smooth. Season with rosemary, thyme, salt, and black pepper.","249
Calories,19g
Fat,7g
Carbs,12g
Protein,"
76,Butternut Squash Pizzas with Rosemary,"Yum, yum, yum!",https://www.allrecipes.com/recipe/41998/butternut-squash-pizzas-with-rosemary/,"1 cup thinly sliced onion,½ butternut squash - peeled, seeded, and thinly sliced,1 teaspoon chopped fresh rosemary,salt and black pepper to taste,3 tablespoons olive oil, divided,1 (16 ounce) package refrigerated pizza crust dough, divided,1 tablespoon cornmeal,2 tablespoons grated Asiago or Parmesan cheese,","Directions
Preheat oven to 400 degrees F (205 degrees C). Place sliced onion and squash in a roasting pan. Sprinkle with rosemary, salt, pepper, and 2 tablespoons of the olive oil; toss to coat.
Bake in the preheated oven for 20 minutes, or until onions are lightly browned and squash is tender; set aside.
Increase oven temperature to 450 degrees F (230 degrees C). On a floured surface, roll each ball of dough into an 8 inch round. Place the rounds on a baking sheet sprinkled with cornmeal (you may need 2 baking sheets depending on their size). Distribute squash mixture over the two rounds and continue baking for 10 minutes, checking occasionally, or until the crust is firm. Sprinkle with cheese and remaining tablespoon olive oil. Cut into quarters, and serve.","567
Calories,14g
Fat,97g
Carbs,15g
Protein,"
77,Chicken and Spinach Ravioli,A delicious combination of chicken and spinach make a wonderful Italian meal. Make sure to have plenty of freshly grated Asiago cheese to top these ravioli.,https://www.allrecipes.com/recipe/70509/chicken-and-spinach-ravioli/,"4 eggs, beaten,¾ cup water,3 ¾ cups sifted all-purpose flour,1 ½ teaspoons salt,½ pound ground chicken,¾ cup chopped fresh spinach,2 tablespoons finely chopped onion,3 tablespoons melted butter,3 tablespoons freshly grated Asiago cheese,¼ teaspoon salt,¼ teaspoon garlic powder,⅛ teaspoon ground nutmeg,1 pinch ground black pepper to taste,1 (16 ounce) jar marinara sauce,¼ cup freshly grated Asiago cheese for topping,","Directions
In a bowl, mix the eggs, water, 2 cups flour, and salt. Gradually mix in the remaining flour until smooth. Divide dough into 2 parts. Cover, and set aside in the refrigerator 20 minutes.
In a skillet over medium heat, cook the ground chicken until evenly brown; drain.
In a food processor, mix the chicken, spinach, and onion. Transfer to a bowl, and mix with butter, 3 tablespoons Asiago cheese, salt, garlic powder, nutmeg, and pepper.
On a lightly floured surface, roll out each part of the dough to 1/8 inch thickness. Cut into 2 inch squares. Place about 1 teaspoon of the chicken mixture in the center of 1/2 the squares, and top with remaining squares. Seal the edges of the squares with a moistened fork to form the ravioli.
Bring a large pot of lightly salted water to a boil, and cook the ravioli in small batches for about 8 minutes, or until al dente. Drain, and rinse under cold water.
Place the marinara sauce in a saucepan, and cook until heated through. Serve ravioli topped with marinara sauce and remaining Asiago cheese.","621
Calories,15g
Fat,102g
Carbs,20g
Protein,"
78,Ultimate Shrimp Scampi,This delicious shrimp recipe will melt in your mouth. The addition of avocado and Asiago cheese takes it to the next level!,https://www.allrecipes.com/recipe/167170/ultimate-shrimp-scampi/,"1 (16 ounce) package angel hair pasta,½ cup butter,4 cloves garlic, minced,½ cup minced onion,1 tablespoon chopped fresh parsley,1 teaspoon salt,½ teaspoon black pepper,1 dash Worcestershire sauce,¼ cup lemon juice,1 teaspoon dry white wine,1 pound peeled and deveined medium shrimp,½ cup Asiago cheese, diced,1 large avocado - peeled, pitted and diced,","Directions
Bring a large pot of lightly salted water to a boil over high heat. Add the angel hair pasta, and cook until al dente, 2 to 3 minutes; drain.
Melt the butter in a large skillet over medium heat. Stir in the garlic, onion, parsley, salt, pepper, Worcestershire sauce, lemon juice, and white wine. Once the mixture begins to bubble, increase the heat to medium-high, and stir in the shrimp. Cook and stir until the shrimp turn pink, and are no longer transparent in the center, about 5 minutes.
Serve the scampi over a bed of angel hair pasta, and sprinkle with Asiago cheese and avocado to serve.","792
Calories,41g
Fat,73g
Carbs,36g
Protein,"
79,Ranch Mac 'n Cheese,This mac 'n cheese gets a lift from the ordinary with Hidden Valley® Original Ranch® Dressing and grated Asiago cheese.,https://www.allrecipes.com/recipe/245072/ranch-mac-n-cheese/,"3 cups gemelli pasta, uncooked,1 (5 ounce) can evaporated milk,1 cup Hidden Valley® Original Ranch® Salad Dressing,2 eggs, slightly beaten,3 cups grated Asiago cheese,½ cup unseasoned bread crumbs,2 tablespoons unsalted butter,","Directions
Preheat oven to 350 degrees F.
Cook pasta according to package directions. Rinse and drain.
In a medium bowl, whisk evaporated milk, dressing and eggs together until smooth. Fold in the cheese. Add the cooked pasta and mix well. Spoon pasta mixture into an oiled 1 1/2-quart casserole. In a bowl, combine bread crumbs and melted butter. Sprinkle on top of pasta. Bake for 20 to 25 minutes until the top is nicely browned and heated through.","701
Calories,43g
Fat,52g
Carbs,27g
Protein,"
80,Arugula Salad with Asiago and Cranberries,"This simple salad combines peppery arugula, nutty Asiago cheese, and sweet cranberries, topped off with buttery pine nuts.",https://www.allrecipes.com/recipe/286371/arugula-salad-with-asiago-and-cranberries/,"2 tablespoons rice wine vinegar,2 tablespoons extra-virgin olive oil,3 tablespoons low-sugar dried cranberries,1 tablespoon minced shallot,salt and freshly ground black pepper to taste,4 ounces arugula,1 ounce Asiago cheese, shaved,2 tablespoons pine nuts,","Directions
Whisk together vinegar and oil in a large bowl. Stir in cranberries, shallot, salt, and pepper. Set aside until cranberries begin to soften and flavors meld, 10 to 15 minutes.
Add arugula, Asiago cheese, and pine nuts to the bowl and toss to coat evenly. Serve immediately.
Cook's Notes:
You can use dried cherries or currants instead of cranberries and Parmesan instead of Asiago.
Use a vegetable peeler to shave ribbons off your block of cheese.","136
Calories,11g
Fat,7g
Carbs,4g
Protein,"
81,Mediterranean Orzo Salad,"This light and refreshing cold pasta salad is loaded with the flavors of the Mediterranean, and pairs well with grilled proteins, such as fish, pork, chicken or steak. If you make this in advance, reserve a bit of the dressing to add right before serving, as the pasta has a tendency to soak up the dressing as it sits over time.",https://www.allrecipes.com/recipe/280504/mediterranean-orzo-salad/,"½ (16 ounce) package uncooked orzo pasta,½ pint cherry tomatoes, halved,½ cup diced red onion,1 cup diced cucumber,1 cup pitted Mediterranean olives, cut in half,1 cup finely diced Asiago cheese,1 ½ teaspoons minced fresh garlic,½ cup extra-virgin olive oil,½ cup red wine vinegar,½ lemon, juiced,1 teaspoon salt,½ teaspoon ground black pepper,¼ cup chopped fresh basil,2 tablespoons chopped fresh parsley,","Directions
Bring a large pot of lightly salted water to a boil. Cook orzo in the boiling water, stirring occasionally until tender yet firm to the bite, about 9 minutes. Drain well. Rinse with cold water and drain well again.
Combine orzo, cherry tomatoes, red onion, cucumber, olives, and Asiago cheese in a large bowl.
Whisk garlic, olive oil, red wine vinegar, lemon juice, salt, and pepper together in a small bowl to make the vinaigrette. Drizzle over the orzo mixture and toss lightly to combine. Add basil and parsley and mix well. Let sit for 20 minutes for flavors to blend, stirring occasionally.","418
Calories,27g
Fat,35g
Carbs,11g
Protein,"
82,Asiago Toasted Cheese Puffs,A rich and tasty appetizer. People will request the recipe EVERY time you make it!,https://www.allrecipes.com/recipe/20694/asiago-toasted-cheese-puffs/,"1 cup grated Asiago cheese,1 teaspoon pressed garlic,⅓ cup mayonnaise,1 teaspoon dried oregano,1 teaspoon dried thyme,1 teaspoon dried parsley,1 pinch salt,1 pinch ground black pepper,1 French baguette, thinly sliced,","Directions
Preheat the broiler.
In a mixing bowl, combine the Asiago, garlic, mayonnaise, oregano, thyme, parsley, salt and pepper. If the mixture does not hold together well, add more mayonnaise, if desired.
On a baking sheet, arrange the baguette slices in a single layer. Spread the Asiago mixture on the slices. Broil for 3 minutes, or until the cheese is melted and lightly browned. Serve immediately.","187
Calories,8g
Fat,22g
Carbs,7g
Protein,"
83,Chicken and Bowtie Pasta with Asiago Cream Sauce,"A tasty mix of chicken, garlic, mushrooms, prosciutto and pasta are complemented by a thin but flavorful Asiago cream sauce.",https://www.allrecipes.com/recipe/58490/chicken-and-bowtie-pasta-with-asiago-cream-sauce/,"1 (16 ounce) package farfalle (bow tie) pasta,2 tablespoons vegetable oil,1 pound skinless, boneless chicken breast halves - cubed,2 ¼ cups heavy cream, divided,¼ cube chicken bouillon, crumbled,¾ cup grated Asiago cheese,½ tablespoon cornstarch,2 tablespoons butter,¼ cup chopped prosciutto,1 tablespoon chopped fresh garlic,¼ cup sliced mushrooms,½ tablespoon parsley flakes,","Directions
Bring a large pot of lightly salted water to a boil. Cook pasta for 8 to 10 minutes, or until al dente. Drain, and set aside.
Heat 2 tablespoons vegetable oil in a skillet over medium-high heat. Cook and stir chicken cubes, reducing heat if necessary, until no longer pink in center and juices run clear. Set aside.
In a medium saucepan, bring 2 cups cream to a simmer, stirring often. Whisk in bouillon and cheese until well blended and bouillon has dissolved completely. Dissolve cornstarch in 2 tablespoons water, and whisk into mixture. Cook and stir 2 minutes more, then remove from heat and set aside.
Melt butter in a medium skillet over medium high heat. Stir in prosciutto, garlic, and mushrooms and cook until mushrooms are tender, about 3 minutes. Add chicken, reduce heat, and continue cooking until chicken is heated through. Return sauce to the stove and add remaining 1/4 cup cream and parsley flakes. Heat through.
To serve, place pasta in a large mixing or serving bowl. Add chicken and mushroom mixture and pour in cream sauce. Toss well, and serve.","837
Calories,51g
Fat,62g
Carbs,33g
Protein,"
84,Golden Mashed Potatoes,"These awesome golden mashed potatoes with the unique flavor of Asiago cheese, garlic, and oregano are always a hit at the holidays or for potlucks. Using nonfat milk and whipped butter reduces the fat and calories in these mashed potatoes but keeps the flavor. The Asiago, garlic, and oregano takes the flavor of these mashed potatoes over the top.",https://www.allrecipes.com/recipe/285597/golden-mashed-potatoes/,"4 medium Yukon Gold potatoes, peeled and quartered,½ cup shredded Asiago cheese,½ cup nonfat milk,3 tablespoons whipped butter,1 tablespoon minced garlic,½ teaspoon dried oregano,salt and ground black pepper to taste,","Directions
Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until fork-tender, about 20 minutes. Drain and place into a large bowl.
Mash potatoes with a potato masher. Add Asiago cheese, milk, butter, garlic, oregano, salt, and pepper; whisk until combined.
Cook's Note:
If you can't find Asiago cheese, you could substitute Parmesan cheese.","159
Calories,6g
Fat,24g
Carbs,4g
Protein,"
85,Stuffed Asiago Chicken Breasts,"Elegant enough for dinner guests, but enticing enough to get 'two thumbs up' from your family.",https://www.allrecipes.com/recipe/274975/stuffed-asiago-chicken-breasts/,"1 cup grated Asiago cheese,¼ cup chopped sun-dried tomatoes,¼ cup Italian-seasoned panko bread crumbs,2 tablespoons chopped fresh parsley,2 tablespoons chopped Kalamata olives,4 large boneless, skinless chicken breast halves, pounded 1/4 inch thick,1 teaspoon olive oil,salt and freshly ground black pepper to taste,paprika to taste,1 tablespoon butter,1 cup sliced baby bella mushrooms,1 clove garlic, minced,2 sprigs fresh thyme, leaves removed (Optional),¼ cup dry white wine,½ cup heavy cream,salt and ground black pepper to taste,½ cup grated Asiago cheese, at room temperature,2 teaspoons fresh thyme leaves (Optional),","Directions
Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a baking dish.
Combine Asiago cheese, sun-dried tomatoes, bread crumbs, parsley, and Kalamata olives in a bowl for the filling. Place about 1/4 of the filling on the center of each chicken breast. Roll up jelly-roll style, securing the edges with toothpicks to keep the chicken breasts from unrolling. Rub the top of each chicken breast with olive oil, place seam-side down in the prepared baking dish, and sprinkle with salt, pepper, and paprika.
Bake in the preheated oven until chicken is no longer pink in the center and the juices run clear, about 30 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove from oven, tent loosely with foil, and allow to cool for about 10 minutes.
Meanwhile, melt 1 tablespoon butter in a skillet over medium heat. Add mushrooms and garlic and cook until mushrooms start to brown, about 4 minutes. Add thyme leaves and white wine, stirring and deglazing the skillet, and cook for 2 minutes.
Reduce heat to medium-low and stir in the heavy cream, salt, and pepper. Cook until sauce starts to slightly thicken. Add 1/2 cup Asiago cheese and stir until melted and smooth. Remove from heat immediately; overcooking the Asiago cheese will create a lumpy, stringy sauce.
Slice each chicken breast into 1/2-inch thick slices, and drizzle with Asiago sauce. Garnish with thyme and serve immediately.","599
Calories,34g
Fat,10g
Carbs,60g
Protein,"
